address,zip,lat_long,neighborhood,status
64-65 wetherole street #3f in rego park,11374,40.72702:-73.860288,West Central Queens,Claim
74-12 35th avenue #303 in jackson heights,11372,40.750833:-73.891919,West Queens,Claim
34-50 29th street #5m in astoria,11106,40.7592738:-73.9301496,Northwest Queens,Claim
12-10 astoria park south #l3 in astoria,11102,40.7763709:-73.9277615,Northwest Queens,No Claim
19 division street #2b in chinatown,10002,40.7139557:-73.9965292,Lower East Side,No Claim
89-52 queens boulevard #612 in elmhurst,11373,40.7347377:-73.8735073,West Queens,No Claim
556 west 156th street #44 in washington heights,10032,40.8328603:-73.94445499999999,Inwood and Washington Heights,No Claim
172 east 104th street #3a in east harlem,10029,40.7904935:-73.9465733,East Harlem,No Claim
255 west 136th street #2b in central harlem,10030,40.8169615:-73.9450634,Central Harlem,Claim
1587 carroll street #h5 in weeksville,11213,40.6664278:-73.9338906,Central Brooklyn,Claim
346 east 65th street #3f in lenox hill,10065,40.76343749999999:-73.9600325,Upper East Side,No Claim
164-18 43rd avenue #1 in flushing,11377,40.744284:-73.914867,West Queens,Claim
319 east 5th street #9 in east village,10003,40.7265626:-73.9879844,Lower East Side,Claim
403 west 48th street #b1 in hell's kitchen ,10036,40.7626599:-73.9902299,Chelsea and Clinton,Claim
460 throop avenue #c in  bedford-stuyvesant,11221,40.6881872:-73.9421588,Bushwick and Williamsburg,No Claim
540 west 189th street #3c in fort george,10040,40.8535559:-73.9285886,Inwood and Washington Heights,No Claim
332 east 66th street #3c in lenox hill,10065,40.7642789:-73.9599815,Upper East Side,Claim
339 east 77th street #1a in lenox hill,10075,40.7715631:-73.9544567,Upper East Side,Claim
589 first avenue #1  in kips bay,10016,40.7436426:-73.97393869999999,Gramercy Park and Murray Hill,Claim
46-05 30th avenue #1r in astoria,11103,40.76167510000001:-73.9097805,Northwest Queens,Claim
32-68 41st street #3b in  prospect park south,11103,40.6457741:-73.96610609999999,Northwest Queens,Claim
33-14 34th avenue #3 in astoria,11106,40.7584804:-73.9252585,Northwest Queens,Claim
476 gates avenue #c4 in bedford-stuyvesant,11216,40.6865164:-73.946929,Central Brooklyn,Claim
1700 east 15th street #b2 in homecrest,11229,40.60816519999999:-73.9585067,Southern Brooklyn,Claim
210 west 82nd street #1f in upper west side,10024,40.7852369:-73.97774580000001,Upper West Side,Claim
244 west 103rd street #1 in upper west side,10025,40.799207:-73.969369,Upper West Side,Claim
87-15 37th avenue #2h in  jackson heights ,11372,40.7504673:-73.8792289,West Queens,Claim
839 halsey street #3r in stuyvesant heights,11233,40.6855479:-73.9190303,Central Brooklyn,Claim
114 west 116th street #12 in south harlem,10026,40.8021965:-73.9507577,Central Harlem,No Claim
946 columbus avenue #2b in manhattan valley,10025,40.799668:-73.962869,Upper West Side,No Claim
1380 york avenue #4d in lenox hill,10021,40.767884:-73.9526589,Upper East Side,No Claim
328 east 6th street #11ar in east village,10003,40.7267071:-73.98725329999999,Lower East Side,No Claim
1081 tiffany street #6b in longwood,10459,28.7030519:-81.3384011,Hunts Point and Mott Haven,No Claim
469 clinton avenue #12 in clinton hill,11238,40.6841781:-73.9667477,Central Brooklyn,Claim
39-19 62nd street #33 in woodside,11377,40.7462406:-73.9016073,West Queens,No Claim
